index;Joylashv kordinatasi;ort_yosh;xonalar;yotoq xonalar;aholisi;oila;ort_oylik;uy narxi
0;121.05;41.0;800.0;150.0;425.0;100.0;8.52;25.123
1;121.06;41.1;700.0;130.0;385.0;80.0;7.53;22.124
2;121.07;41.2;650.0;115.0;325.0;75.0;9.54;29.125
3;121.08;41.3;1000.0;170.0;526.0;120.0;8.55;25.126
4;121.09;41.4;800.0;150.0;425.0;100.0;8.56;25.127
5;121.05;41.5;200.0;50.0;225.0;50.0;5.57;18.128
6;121.11;41.6;450.0;123.0;525.0;68.0;8.58;25.129
7;121.12;31.7;652.0;131.0;325.0;70.0;8.59;25.130
8;121.13;41.8;234.0;95.0;225.0;50.0;8.60;25.131
9;121.14;41.9;150.0;86.0;400.0;30.0;8.61;25.132
10;121.11;41.10;320.0;104.0;375.0;63.0;8.62;25.133
11;121.16;37.11;800.0;160.0;325.0;101.0;8.63;25.134
12;121.17;43.12;800.0;142.0;625.0;110.0;8.64;25.135
13;121.18;47.13;755.0;122.0;505.0;113.0;8.65;25.136
14;121.19;44.14;720.0;150.0;425.0;114.0;8.66;25.137
15;121.20;41.15;800.15;150.15;425.15;100.15;8.67;25.138
16;121.21;41.16;800.16;150.16;425.16;100.16;8.68;25.139
17;121.22;55.7;800.17;150.17;425.17;100.17;8.69;25.140
18;121.23;41.18;800.18;150.18;425.18;100.18;8.70;25.141
